Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Fr;23.10.2015;19:45;EHC Biel-Bienne;HC Lugano; 5:1; 2:0|1:1|2:0;;Ende;False;Tissot Arena, Biel-Bienne;5665;20161105071092;NL A;CH;Regular Season
Fr;23.10.2015;19:45;Fribourg-Gottéron;ZSC Lions; 3:1; 0:0|1:1|2:0;;Ende;False;BCF Arena, Fribourg;6157;20161105071093;NL A;CH;Regular Season
Fr;23.10.2015;19:45;SCL Tigers;EHC Kloten; 4:5; 0:3|2:1|2:1;;Ende;False;Ilfis Stadion, Langnau;5842;20161105071094;NL A;CH;Regular Season
Fr;23.10.2015;19:45;EV Zug;SC Bern; 3:0; 1:0|2:0|0:0;;Ende;False;BOSSARD Arena, Zug;6570;20161105071096;NL A;CH;Regular Season
Sa;24.10.2015;19:45;SC Bern;Fribourg-Gottéron; 5:1; 1:0|3:1|1:0;;Ende;False;PostFinance-Arena, Bern;16974;20161105071097;NL A;CH;Regular Season
Sa;24.10.2015;19:45;HC Davos;EHC Biel-Bienne; 6:3; 1:1|2:0|3:2;;Ende;False;Vaillant Arena, Davos;4341;20161105071098;NL A;CH;Regular Season
Sa;24.10.2015;19:45;Genève-Servette HC;EV Zug; 4:3; 2:0|1:1|0:2|1:0;SO;Ende;False;Les Vernets, Genève;6453;20161105071099;NL A;CH;Regular Season
Sa;24.10.2015;19:45;EHC Kloten;Lausanne HC; 4:5; 1:1|2:2|1:2;;Ende;False;SWISS Arena, Kloten;3657;20161105071100;NL A;CH;Regular Season
Sa;24.10.2015;20:30;HC Lugano;HC Ambri-Piotta; 6:3; 3:2|0:0|3:1;;Ende;False;Pista Resega, Porza;7800;20161105071101;NL A;CH;Regular Season
So;25.10.2015;15:45;ZSC Lions;SCL Tigers; 6:3; 2:1|1:1|3:1;;Ende;False;Hallenstadion AG, Zürich;10430;20161105071102;NL A;CH;Regular Season
Fr;30.10.2015;19:45;SC Bern;HC Davos; 2:5; 0:2|1:1|1:2;;Ende;False;PostFinance-Arena, Bern;16895;20161105071103;NL A;CH;Regular Season
Fr;30.10.2015;19:45;EHC Biel-Bienne;Genève-Servette HC; 2:3; 0:1|2:0|0:1|0:1;SO;Ende;False;Tissot Arena, Biel-Bienne;5111;20161105071104;NL A;CH;Regular Season
